ita_id;id_ras_activity_data;ita_t;ita_micro;ita_mili ;ita_x;ita_y;ita_z;ita_is_calibration_data
18048461;3799;1,69564E+12;286515777;0;0.005837683;-0.07309264;0.11364851;false
18049146;3799;1,69564E+12;233381381;0;-0.05183482;0.05236968;0.064011656;true
18048462;3799;1,69564E+12;286532444;16;0.053267714;-0.10427899;0.13167967;false
18049147;3799;1,69564E+12;233398048;16;-0.04114222;0.030705394;0.033337843;true
18048463;3799;1,69564E+12;286549111;33;-0.14069152;-0.05302388;0.12054465;false
18049148;3799;1,69564E+12;233414715;33;0.027546108;-0.018820237;0.1272813;true
18048464;3799;1,69564E+12;286565778;50;-0.014499131;0.09379124;0.10687618;false
18049149;3799;1,69564E+12;233431382;50;0.15106118;0.048665326;0.16445352;true
18048465;3799;1,69564E+12;286582445;66;0.06758837;0.23393127;0.048851147;false
18049150;3799;1,69564E+12;233448049;66;0.057696473;0.09305962;0.15570484;true
18048466;3799;1,69564E+12;286599112;83;-0.081513755;0.28026515;0.074585274;false
18049151;3799;1,69564E+12;233464716;83;0.106033705;0.028721312;0.10319012;true
18048467;3799;1,69564E+12;286615779;100;-0.1325642;0.0995279;0.20949286;false
18049152;3799;1,69564E+12;233481383;100;-0.08510104;-0.10551679;0.1329133;true
18048468;3799;1,69564E+12;286632446;116;-0.15150766;-0.17843354;0.31179345;false
18049153;3799;1,69564E+12;233498050;116;-0.061453816;-0.21673635;0.18858123;true
18048469;3799;1,69564E+12;286649113;133;-0.5998479;-0.48578885;0.47599024;false
18049154;3799;1,69564E+12;233514717;133;-0.07296641;-0.23851486;0.1808512;true
18048470;3799;1,69564E+12;286665780;150;-0.8539162;-1.0784572;0.6176799;false
18049155;3799;1,69564E+12;233531384;150;-0.04952882;-0.18281282;0.15151902;true
18048471;3799;1,69564E+12;286682447;166;-1.1201342;-1.4684005;0.5376234;false
18049156;3799;1,69564E+12;233548051;166;-0.05351127;-0.08916773;0.04209011;true
18048472;3799;1,69564E+12;286699114;183;-1.0874023;-1.2128195;0.15728094;false
18049157;3799;1,69564E+12;233564718;183;0.036675107;-0.049407084;-0.037130035;true
